from,to,value,id
US,Design,1213,1000823935-0
Design,20-30 days,1213,1000823935-1
20-30 days,successful,1213,1000823935-2
successful,100% - 120%,1213,1000823935-3
US,Photography,51,1000827504-0
Photography,40-50 days,51,1000827504-1
40-50 days,canceled,51,1000827504-2
canceled,< 10%,51,1000827504-3
CA,Food,96,1000834930-0
Food,> 50 days,96,1000834930-1
> 50 days,failed,96,1000834930-2
failed,< 10%,96,1000834930-3
US,Fashion,103,1000844246-0
Fashion,10-20 days,103,1000844246-1
10-20 days,successful,103,1000844246-2
successful,> 200%,103,1000844246-3
SE,Comics,3,1000869383-0
Comics,20-30 days,3,1000869383-1
20-30 days,successful,3,1000869383-2
successful,120% - 200%,3,1000869383-3
US,Theater,227,1000883509-0
Theater,30-50 days,227,1000883509-1
30-50 days,successful,227,1000883509-2
successful,120% - 200%,227,1000883509-3
GB,Design,80,1000885772-0
Design,30-50 days,80,1000885772-1
30-50 days,successful,80,1000885772-2
successful,100% - 120%,80,1000885772-3
FR,Fashion,28,100089599-0
Fashion,20-30 days,28,100089599-1
20-30 days,successful,28,100089599-2
successful,100% - 120%,28,100089599-3
FR,Art,2,1000916036-0
Art,> 50 days,2,1000916036-1
> 50 days,failed,2,1000916036-2
failed,10% - 25%,2,1000916036-3
US,Games,1462,1000918505-0
Games,20-30 days,1462,1000918505-1
20-30 days,canceled,1462,1000918505-2
canceled,< 10%,1462,1000918505-3
CA,Film & Video,430,100091944-0
Film & Video,20-30 days,430,100091944-1
20-30 days,failed,430,100091944-2
failed,< 10%,430,100091944-3
US,Games,1254,1000932522-0
Games,20-30 days,1254,1000932522-1
20-30 days,successful,1254,1000932522-2
successful,100% - 120%,1254,1000932522-3
US,Publishing,1561,1000937140-0
Publishing,30-50 days,1561,1000937140-1
30-50 days,failed,1561,1000937140-2
failed,< 10%,1561,1000937140-3
US,Art,377,1000968500-0
Art,10-20 days,377,1000968500-1
10-20 days,successful,377,1000968500-2
successful,120% - 200%,377,1000968500-3
US,Publishing,1131,1000987760-0
Publishing,40-50 days,1131,1000987760-1
40-50 days,failed,1131,1000987760-2
failed,< 10%,1131,1000987760-3
US,Comics,106,1000997384-0
Comics,40-50 days,106,1000997384-1
40-50 days,successful,106,1000997384-2
successful,120% - 200%,106,1000997384-3
US,Food,227,100101389-0
Food,30-50 days,227,100101389-1
30-50 days,successful,227,100101389-2
successful,120% - 200%,227,100101389-3
US,Publishing,1322,100101652-0
Publishing,20-30 days,1322,100101652-1
20-30 days,canceled,1322,100101652-2
canceled,< 10%,1322,100101652-3
US,Games,315,1001019464-0
Games,10-20 days,315,1001019464-1
10-20 days,failed,315,1001019464-2
failed,< 10%,315,1001019464-3
US,Dance,31,1001020080-0
Dance,< 10 days,31,1001020080-1
< 10 days,successful,31,1001020080-2
successful,100% - 120%,31,1001020080-3
US,Design,123,100102338-0
Design,10-20 days,123,100102338-1
10-20 days,successful,123,100102338-2
successful,120% - 200%,123,100102338-3
US,Publishing,746,1001033266-0
Publishing,10-20 days,746,1001033266-1
10-20 days,failed,746,1001033266-2
failed,< 10%,746,1001033266-3
US,Design,791,1001042227-0
Design,40-50 days,791,1001042227-1
40-50 days,failed,791,1001042227-2
failed,< 10%,791,1001042227-3
AU,Comics,23,1001052357-0
Comics,20-30 days,23,1001052357-1
20-30 days,failed,23,1001052357-2
failed,< 10%,23,1001052357-3
US,Photography,495,1001057158-0
Photography,> 50 days,495,1001057158-1
> 50 days,failed,495,1001057158-2
failed,< 10%,495,1001057158-3
US,Comics,405,1001064677-0
Comics,30-50 days,405,1001064677-1
30-50 days,successful,405,1001064677-2
successful,100% - 120%,405,1001064677-3
US,Technology,791,1001077166-0
Technology,20-30 days,791,1001077166-1
20-30 days,successful,791,1001077166-2
successful,100% - 120%,791,1001077166-3
GB,Film & Video,101,1001087429-0
Film & Video,20-30 days,101,1001087429-1
20-30 days,successful,101,1001087429-2
successful,> 200%,101,1001087429-3
US,Art,377,1001097057-0
Art,30-50 days,377,1001097057-1
30-50 days,successful,377,1001097057-2
successful,120% - 200%,377,1001097057-3
US,Games,86,1001110351-0
Games,30-50 days,86,1001110351-1
30-50 days,canceled,86,1001110351-2
canceled,50% - 100%,86,1001110351-3
US,Art,1242,1001116225-0
Art,> 50 days,1242,1001116225-1
> 50 days,failed,1242,1001116225-2
failed,< 10%,1242,1001116225-3
US,Dance,22,1001126692-0
Dance,30-50 days,22,1001126692-1
30-50 days,failed,22,1001126692-2
failed,25% - 50%,22,1001126692-3
CA,Photography,2,1001128468-0
Photography,40-50 days,2,1001128468-1
40-50 days,successful,2,1001128468-2
successful,> 200%,2,1001128468-3
US,Publishing,871,1001149306-0
Publishing,20-30 days,871,1001149306-1
20-30 days,successful,871,1001149306-2
successful,> 200%,871,1001149306-3
GB,Technology,42,100114978-0
Technology,30-50 days,42,100114978-1
30-50 days,successful,42,100114978-2
successful,120% - 200%,42,100114978-3
US,Food,177,1001157858-0
Food,30-50 days,177,1001157858-1
30-50 days,failed,177,1001157858-2
failed,25% - 50%,177,1001157858-3
US,Dance,245,1001159174-0
Dance,20-30 days,245,1001159174-1
20-30 days,successful,245,1001159174-2
successful,120% - 200%,245,1001159174-3
DE,Fashion,3,1001188527-0
Fashion,10-20 days,3,1001188527-1
10-20 days,successful,3,1001188527-2
successful,100% - 120%,3,1001188527-3
DE,Fashion,6,1001190550-0
Fashion,40-50 days,6,1001190550-1
40-50 days,failed,6,1001190550-2
failed,< 10%,6,1001190550-3
FR,Design,16,1001216413-0
Design,40-50 days,16,1001216413-1
40-50 days,failed,16,1001216413-2
failed,< 10%,16,1001216413-3
US,Film & Video,233,1001223817-0
Film & Video,10-20 days,233,1001223817-1
10-20 days,failed,233,1001223817-2
failed,10% - 25%,233,1001223817-3
US,Art,473,1001230250-0
Art,> 50 days,473,1001230250-1
> 50 days,successful,473,1001230250-2
successful,100% - 120%,473,1001230250-3
US,Film & Video,420,1001242672-0
Film & Video,40-50 days,420,1001242672-1
40-50 days,failed,420,1001242672-2
failed,10% - 25%,420,1001242672-3
GB,Film & Video,377,1001243867-0
Film & Video,20-30 days,377,1001243867-1
20-30 days,successful,377,1001243867-2
successful,120% - 200%,377,1001243867-3
US,Art,619,1001251896-0
Art,10-20 days,619,1001251896-1
10-20 days,successful,619,1001251896-2
successful,100% - 120%,619,1001251896-3
US,Fashion,157,1001259618-0
